index, memory location, data type, hex value, dec, voltage
[310], 0x001E6C, int, 0x084F, 2127, 1.71324462890625
[311], 0x001E6E, int, 0x086F, 2159, 1.73902587890625
[312], 0x001E70, int, 0x088C, 2188, 1.76239013671875
[313], 0x001E72, int, 0x0888, 2184, 1.75916748046875
[314], 0x001E74, int, 0x086F, 2159, 1.73902587890625
[315], 0x001E76, int, 0x082F, 2095, 1.68746337890625
[316], 0x001E78, int, 0x0800, 2048, 1.64959716796875
[317], 0x001E7A, int, 0x07D0, 2000, 1.61092529296875
[318], 0x001E7C, int, 0x079D, 1949, 1.56983642578125
[319], 0x001E7E, int, 0x0779, 1913, 1.54083251953125
[320], 0x001E80, int, 0x0783, 1923, 1.54888916015625
[321], 0x001E82, int, 0x0777, 1911, 1.53922119140625
[322], 0x001E84, int, 0x07BA, 1978, 1.59320068359375
[323], 0x001E86, int, 0x07E8, 2024, 1.63026123046875
[324], 0x001E88, int, 0x083B, 2107, 1.69713134765625
[325], 0x001E8A, int, 0x084F, 2127, 1.71324462890625
[326], 0x001E8C, int, 0x0884, 2180, 1.75594482421875
[327], 0x001E8E, int, 0x088C, 2188, 1.76239013671875
[328], 0x001E90, int, 0x088B, 2187, 1.76158447265625
[329], 0x001E92, int, 0x0857, 2135, 1.71968994140625
[330], 0x001E94, int, 0x082C, 2092, 1.68504638671875
[331], 0x001E96, int, 0x07F9, 2041, 1.64395751953125
[332], 0x001E98, int, 0x07BF, 1983, 1.59722900390625
[333], 0x001E9A, int, 0x0783, 1923, 1.54888916015625
[334], 0x001E9C, int, 0x076C, 1900, 1.53035888671875
[335], 0x001E9E, int, 0x075F, 1887, 1.51988525390625
[336], 0x001EA0, int, 0x0797, 1943, 1.56500244140625
[337], 0x001EA2, int, 0x07A6, 1958, 1.57708740234375
[338], 0x001EA4, int, 0x07F0, 2032, 1.63670654296875
[339], 0x001EA6, int, 0x0815, 2069, 1.66651611328125
[340], 0x001EA8, int, 0x0857, 2135, 1.71968994140625
[341], 0x001EAA, int, 0x085E, 2142, 1.72532958984375
[342], 0x001EAC, int, 0x0873, 2163, 1.74224853515625
[343], 0x001EAE, int, 0x085F, 2143, 1.72613525390625
[344], 0x001EB0, int, 0x084B, 2123, 1.71002197265625
[345], 0x001EB2, int, 0x0816, 2070, 1.66732177734375
[346], 0x001EB4, int, 0x07E1, 2017, 1.62462158203125
[347], 0x001EB6, int, 0x07A1, 1953, 1.57305908203125
[348], 0x001EB8, int, 0x077A, 1914, 1.54163818359375
[349], 0x001EBA, int, 0x075C, 1884, 1.51746826171875
[350], 0x001EBC, int, 0x0775, 1909, 1.53760986328125
[351], 0x001EBE, int, 0x0783, 1923, 1.54888916015625
[352], 0x001EC0, int, 0x07C2, 1986, 1.59964599609375
