index, memory location, data type, hex value, dec, voltage
[316], 0x001E78, int, 0x0122, 290, 0.084814453125
[317], 0x001E7A, int, 0x00B6, 182, 0.053173828125
[318], 0x001E7C, int, 0x00D1, 209, 0.061083984375
[319], 0x001E7E, int, 0x012E, 302, 0.08833007812499999
[320], 0x001E80, int, 0x0224, 548, 0.160400390625
[321], 0x001E82, int, 0x031A, 794, 0.23247070312499998
[322], 0x001E84, int, 0x03E9, 1001, 0.29311523437500003
[323], 0x001E86, int, 0x0526, 1318, 0.385986328125
[324], 0x001E88, int, 0x05A9, 1449, 0.424365234375
[325], 0x001E8A, int, 0x05F9, 1529, 0.447802734375
[326], 0x001E8C, int, 0x05E0, 1504, 0.440478515625
[327], 0x001E8E, int, 0x0507, 1287, 0.376904296875
[328], 0x001E90, int, 0x045A, 1114, 0.326220703125
[329], 0x001E92, int, 0x0331, 817, 0.239208984375
[330], 0x001E94, int, 0x0282, 642, 0.187939453125
[331], 0x001E96, int, 0x015F, 351, 0.10268554687499999
[332], 0x001E98, int, 0x0119, 281, 0.08217773437499999
[333], 0x001E9A, int, 0x009E, 158, 0.046142578125
[334], 0x001E9C, int, 0x00FB, 251, 0.07338867187499999
[335], 0x001E9E, int, 0x0188, 392, 0.11469726562499999
[336], 0x001EA0, int, 0x02A3, 675, 0.197607421875
[337], 0x001EA2, int, 0x037F, 895, 0.262060546875
[338], 0x001EA4, int, 0x047C, 1148, 0.336181640625
[339], 0x001EA6, int, 0x0500, 1280, 0.374853515625
[340], 0x001EA8, int, 0x05DE, 1502, 0.439892578125
[341], 0x001EAA, int, 0x0610, 1552, 0.454541015625
[342], 0x001EAC, int, 0x05DC, 1500, 0.439306640625
[343], 0x001EAE, int, 0x04FF, 1279, 0.374560546875
[344], 0x001EB0, int, 0x0436, 1078, 0.315673828125
[345], 0x001EB2, int, 0x02EC, 748, 0.218994140625
[346], 0x001EB4, int, 0x020C, 524, 0.15336914062499998
[347], 0x001EB6, int, 0x00FA, 250, 0.073095703125
[348], 0x001EB8, int, 0x00A2, 162, 0.047314453125
[349], 0x001EBA, int, 0x00CE, 206, 0.060205078125
[350], 0x001EBC, int, 0x012F, 303, 0.08862304687499999
[351], 0x001EBE, int, 0x0237, 567, 0.165966796875
[352], 0x001EC0, int, 0x0316, 790, 0.231298828125
[353], 0x001EC2, int, 0x0460, 1120, 0.327978515625
[354], 0x001EC4, int, 0x052C, 1324, 0.387744140625
[355], 0x001EC6, int, 0x05DA, 1498, 0.438720703125
[356], 0x001EC8, int, 0x05FF, 1535, 0.449560546875
[357], 0x001ECA, int, 0x059A, 1434, 0.419970703125
[358], 0x001ECC, int, 0x04F8, 1272, 0.372509765625
[359], 0x001ECE, int, 0x042C, 1068, 0.312744140625
[360], 0x001ED0, int, 0x034B, 843, 0.24682617187499997
[361], 0x001ED2, int, 0x0202, 514, 0.15043945312499998
[362], 0x001ED4, int, 0x0162, 354, 0.103564453125
[363], 0x001ED6, int, 0x00BC, 188, 0.054931640625
[364], 0x001ED8, int, 0x00AF, 175, 0.051123046875
[365], 0x001EDA, int, 0x0130, 304, 0.088916015625
[366], 0x001EDC, int, 0x01E4, 484, 0.14165039062499998
[367], 0x001EDE, int, 0x031F, 799, 0.23393554687499998
[368], 0x001EE0, int, 0x03FA, 1018, 0.298095703125
[369], 0x001EE2, int, 0x04DF, 1247, 0.365185546875
[370], 0x001EE4, int, 0x0565, 1381, 0.40444335937500003
[371], 0x001EE6, int, 0x0602, 1538, 0.450439453125
[372], 0x001EE8, int, 0x05F1, 1521, 0.44545898437500003
[373], 0x001EEA, int, 0x0594, 1428, 0.418212890625
[374], 0x001EEC, int, 0x04EC, 1260, 0.368994140625
[375], 0x001EEE, int, 0x03A9, 937, 0.274365234375
[376], 0x001EF0, int, 0x02B9, 697, 0.204052734375
[377], 0x001EF2, int, 0x019F, 415, 0.121435546875
[378], 0x001EF4, int, 0x0107, 263, 0.07690429687499999
[379], 0x001EF6, int, 0x00AF, 175, 0.051123046875
[380], 0x001EF8, int, 0x00C9, 201, 0.058740234375
[381], 0x001EFA, int, 0x0187, 391, 0.11440429687499999
[382], 0x001EFC, int, 0x024C, 588, 0.172119140625
[383], 0x001EFE, int, 0x0336, 822, 0.240673828125
[384], 0x001F00, int, 0x0479, 1145, 0.335302734375
[385], 0x001F02, int, 0x053D, 1341, 0.39272460937500003
[386], 0x001F04, int, 0x05B9, 1465, 0.429052734375
[387], 0x001F06, int, 0x0615, 1557, 0.456005859375
[388], 0x001F08, int, 0x05B8, 1464, 0.428759765625
[389], 0x001F0A, int, 0x0542, 1346, 0.39418945312500003
[390], 0x001F0C, int, 0x0477, 1143, 0.334716796875
[391], 0x001F0E, int, 0x0388, 904, 0.264697265625
[392], 0x001F10, int, 0x023C, 572, 0.167431640625
[393], 0x001F12, int, 0x0189, 393, 0.11499023437499999
[394], 0x001F14, int, 0x00F6, 246, 0.07192382812499999
[395], 0x001F16, int, 0x00AF, 175, 0.051123046875
[396], 0x001F18, int, 0x00E0, 224, 0.065478515625
[397], 0x001F1A, int, 0x01B6, 438, 0.128173828125
[398], 0x001F1C, int, 0x0267, 615, 0.180029296875
[399], 0x001F1E, int, 0x03D9, 985, 0.288427734375
[400], 0x001F20, int, 0x0497, 1175, 0.344091796875
[401], 0x001F22, int, 0x054C, 1356, 0.39711914062500003
[402], 0x001F24, int, 0x05ED, 1517, 0.444287109375
[403], 0x001F26, int, 0x05F8, 1528, 0.447509765625
[404], 0x001F28, int, 0x05B7, 1463, 0.428466796875
[405], 0x001F2A, int, 0x04E3, 1251, 0.36635742187500003
[406], 0x001F2C, int, 0x0409, 1033, 0.302490234375
[407], 0x001F2E, int, 0x02AA, 682, 0.199658203125
[408], 0x001F30, int, 0x01D2, 466, 0.13637695312499998
[409], 0x001F32, int, 0x00F2, 242, 0.07075195312499999
[410], 0x001F34, int, 0x00B6, 182, 0.053173828125
[411], 0x001F36, int, 0x00CE, 206, 0.060205078125
[412], 0x001F38, int, 0x015C, 348, 0.10180664062499999
[413], 0x001F3A, int, 0x026D, 621, 0.18178710937499998
[414], 0x001F3C, int, 0x037F, 895, 0.262060546875
[415], 0x001F3E, int, 0x043B, 1083, 0.317138671875
[416], 0x001F40, int, 0x0566, 1382, 0.404736328125
[417], 0x001F42, int, 0x05D1, 1489, 0.436083984375
[418], 0x001F44, int, 0x05FC, 1532, 0.448681640625
[419], 0x001F46, int, 0x05D7, 1495, 0.437841796875
[420], 0x001F48, int, 0x0532, 1330, 0.389501953125
[421], 0x001F4A, int, 0x0428, 1064, 0.311572265625
[422], 0x001F4C, int, 0x035F, 863, 0.252685546875
[423], 0x001F4E, int, 0x021B, 539, 0.15776367187499998
[424], 0x001F50, int, 0x0175, 373, 0.10913085937499999
[425], 0x001F52, int, 0x00C5, 197, 0.057568359374999996
[426], 0x001F54, int, 0x00AF, 175, 0.051123046875
[427], 0x001F56, int, 0x0115, 277, 0.08100585937499999
[428], 0x001F58, int, 0x01B6, 438, 0.128173828125
[429], 0x001F5A, int, 0x02DA, 730, 0.213720703125
[430], 0x001F5C, int, 0x03E4, 996, 0.29165039062500003
[431], 0x001F5E, int, 0x04A7, 1191, 0.34877929687500003
[432], 0x001F60, int, 0x0561, 1377, 0.403271484375
[433], 0x001F62, int, 0x05F6, 1526, 0.44692382812500003
[434], 0x001F64, int, 0x0609, 1545, 0.452490234375
[435], 0x001F66, int, 0x05AF, 1455, 0.426123046875
[436], 0x001F68, int, 0x04CC, 1228, 0.359619140625
[437], 0x001F6A, int, 0x03F5, 1013, 0.296630859375
